"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP35,TP36,TP31,TP32,TP33,TP34,TP30,TP29,TP27,TP28,TP26,TP25,TP24,TP19,TP20,TP21,TP22,TP23,TP18,TP17,TP16,TP15,TP14,TP13,TP10,TP11,TP12,TP8,TP9,TP1,TP2,TP3,TP4,TP5,TP6,TP7";"TEST_POINT";36;"TEST_POINT";;;
2;"R43";"R2010";1;"RC5025J000CS";;;
3;"IC1";"ESP-09";1;"ESP_09";;;
4;"FD3,FD2,FD1";"FIDUCIAL";3;"FIDUCIAL";;;
5;"U2";"BQ24210";1;"BQ24210DQCT";;;
6;"U5";"PCA9518DBQR";1;"PCA9518DBQR";;;
7;"D1";"BAT20JFILM";1;"BAT20JFILM";;;
8;"J11,J16,J9,J12,J13,J15,J14,J10,J8,J7,J6,J5";"B4B-PH-K-S(LF)(SN)";12;"B4B-PH-K-S(LF)(SN)";;;
9;"D7,D6,D8,D9,D11,D12,D13,D10,D3,D5,D2,D4";"PESD3V3L2BT,215";12;"PESD3V3L2BT,215";;;
10;"DA1";"ESDA6V1BC6";1;"ESDA6V1BC6";;;
11;"Q2,Q1";"DMG2307L-7";2;"DMG2307L-7";;;
12;"X2";"ABS07-32.768KHZ-9-T";1;"ABS07-32.768KHZ-9-T";;;
13;"X1";"ABM3B8.000MHZB2T";1;"ABM3B8.000MHZB2T";;;
14;"D14";"RSB39VTE-17";1;"RSB39VTE-17";;;
15;"J3";"B2B-PH-K-S(LF)(SN)";1;"B2B-PH-K-S(LF)(SN)";;;
16;"J4";"B3B-PH-K-S(LF)(SN)";1;"B3B-PH-K-S(LF)(SN)";;;
17;"T1";"1909763-1";1;"1909763-1";;;
18;"U4";"74HC4052D";1;"74HC4052D";;;
19;"U1";"STM32F446RET6";1;"STM32F446RET6_-_TQFP64";;;
20;"J1";"20021121-00010C4LF";1;"20021121-00010C4LF";;;
21;"R42,R40,R15,R14,R16,R3,R1";"R0402";7;"RC1005F103CS";;;
22;"H2,H1,H3";"M2.5_HOLE";3;"M2.5_Hole";;;
23;"R41,R39,R23,R18,R26,R8,R6,R2,R11,R10";"R0402";10;"RC1005F102CS";;;
24;"FB2";"MI0603K300R-10";1;"MI0603K300R-10";;;
25;"SW1,SW2";"B3U-1000P";2;"B3U-1000P";;;
26;"P2";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
27;"LED1";"LED0603";1;"LTST-C193TBKT-5A";;;
28;"R37,R38";"R0603";2;"ERA-3AEB3741V";;;
29;"R9,R20,R19,R17,R12,R21,R13";"R0402";7;"RC1005F201CS";;;
30;"R36,R35,R29,R30,R31,R28,R27,R33,R32,R34";"R0402";10;"RC1005F472CS";;;
31;"R22";"R0402";1;"RC1005F4870CS";;;
32;"R4,R5";"R0402";2;"CPF0402B22RE1";;;
33;"R7";"R0402";1;"RC1005J473CS";;;
34;"C4,C6,C14,C8,C10,C15,C3,C9,C1,C22,C27,C7,C17,C18";"C0402";14;"CL05B104JP5NNNC";;;
35;"C11,C12";"C0402";2;"CL05C180GB5NCNC";;;
36;"C13";"C0402";1;"CL05A475KQ5NRNC";;;
37;"C2,C5";"C0402";2;"CL05C090CB5NNNC";;;
38;"FB1";"BLM15HG601SN1D";1;"BLM15HG601SN1D";;;
39;"C21";"C0603";1;"CL10A106KQ8NNNC";;;
40;"C20,C19";"C0402";2;"CL05A105KA5NQNC";;;
41;"LED2";"LED0603";1;"LTST-C191KGKT";;;
42;"LED3";"LED0603";1;"LTST-C191KFKT";;;
43;"U3";"AZ1117CR-3.3TRG1";1;"AZ1117CR-3.3TRG1_1";;;
44;"J2";"0475890001";1;"0475890001-MicroUSBPort";;;
45;"R24,R25";"R0603";2;"RC1608J202CS";;;
